iter	Logloss
0	0.6728437323
1	0.654474158
2	0.6331004093
3	0.6157329459
4	0.5973078577
5	0.578516659
6	0.5584704249
7	0.5460443999
8	0.5341463089
9	0.5162546258
10	0.5033724935
11	0.4870748018
12	0.4686088562
13	0.4566639348
14	0.4453168166
15	0.432379572
16	0.4211747019
17	0.413217394
18	0.3999126334
19	0.3912403207
20	0.3815776423
21	0.3742136955
22	0.3665865597
23	0.3573318783
24	0.3486262623
25	0.3396172022
26	0.3307652724
27	0.3235502745
28	0.3165465907
29	0.3091678117
30	0.299238732
31	0.2919118781
32	0.2886349778
33	0.2808757832
34	0.2733140494
35	0.2664878243
36	0.260372463
37	0.2557956294
38	0.2486245507
39	0.2432083833
40	0.2379925627
41	0.2329412009
42	0.2270570554
43	0.2214954276
44	0.2160020627
45	0.2119942464
46	0.2082651038
47	0.203616845
48	0.2002986983
49	0.1964701853
50	0.1939170361
51	0.1902311978
52	0.1865315061
53	0.1836755401
54	0.1800587805
55	0.1774021952
56	0.1739768856
57	0.1704339856
58	0.1674698027
59	0.1648758462
60	0.1623842089
61	0.1599755036
62	0.1576820424
63	0.1551285292
64	0.1523498987
65	0.1495712305
66	0.1471190202
67	0.1445043338
68	0.1417855213
69	0.1387846721
70	0.1369896437
71	0.1341459877
72	0.1325941588
73	0.1296725399
74	0.1279018302
75	0.1260942534
76	0.1242913698
77	0.1223565905
78	0.1202935922
79	0.1186489933
80	0.1175367581
81	0.1158338722
82	0.1141447394
83	0.1122419709
84	0.1109004272
85	0.1095245637
86	0.1076455116
87	0.1064873997
88	0.1048825415
89	0.1037035365
90	0.1019593038
91	0.1005129312
92	0.09938440825
93	0.09806492454
94	0.09670234981
95	0.09556473556
96	0.0938025211
97	0.09254079116
98	0.09116327135
99	0.08995532362
100	0.08897930697
101	0.0878754164
102	0.08668801032
103	0.08572678817
104	0.0848706647
105	0.08370415788
106	0.08253242468
107	0.08146978679
108	0.08052100006
109	0.07967137036
110	0.0783693163
111	0.0772501042
112	0.07625084802
113	0.07529242415
114	0.07443261774
115	0.07344510053
116	0.07255305742
117	0.07166733867
118	0.07082600343
119	0.06975076073
120	0.06878843433
121	0.06823202183
122	0.06743042093
123	0.06640067853
124	0.06517134215
125	0.06446267429
126	0.06368781391
127	0.06290475946
128	0.06213539525
129	0.06131242451
130	0.06059368033
131	0.06001410986
132	0.05926935296
133	0.0585970063
134	0.05800870218
135	0.05725174829
136	0.05643628773
137	0.05587064592
138	0.05520340016
139	0.05466922961
140	0.05393934877
141	0.05334152673
142	0.05268905037
143	0.05209928751
144	0.05159837949
145	0.05091152379
146	0.05039900855
147	0.04971506094
148	0.04913205849
149	0.04849789645
150	0.04795569181
151	0.04746257631
152	0.0468303122
153	0.0462300652
154	0.04570698738
155	0.04523008121
156	0.0447137544
157	0.04419727702
158	0.0437497277
159	0.04335472458
160	0.0427942025
161	0.04242960089
162	0.04180348547
163	0.04134461754
164	0.04089531146
165	0.04054052265
166	0.04014205619
167	0.03972014001
168	0.0392021129
169	0.03880061288
170	0.03833281994
171	0.03805106565
172	0.03774802622
173	0.03737782805
174	0.03696828139
175	0.03667740445
176	0.03633698978
177	0.0359066913
178	0.03559461393
179	0.03531115933
180	0.03502995403
181	0.03474829385
182	0.03439916121
183	0.03410335277
184	0.03382995882
185	0.03351057831
186	0.03320477511
187	0.03272279313
188	0.03235537441
189	0.03211741385
190	0.03188148611
191	0.03154239529
192	0.03127012755
193	0.03101237197
194	0.03078916512
195	0.03048648332
196	0.03027274734
197	0.02997907212
198	0.02976449226
199	0.02956181451
200	0.02934976628
201	0.02913216227
202	0.02893185616
203	0.02867270771
204	0.02842656876
205	0.02818854859
206	0.02803150604
207	0.02783133168
208	0.02755930236
209	0.02736461476
210	0.02714179064
211	0.02689984598
212	0.02674298851
213	0.02655387866
214	0.02635132639
215	0.02615817597
216	0.02597635357
217	0.02573711621
218	0.02556369022
219	0.02540254436
220	0.02523282955
221	0.0251055501
222	0.02494995688
223	0.02474996291
224	0.02460810228
225	0.02446015258
226	0.02431308909
227	0.02410725857
228	0.02391969844
229	0.02369471286
230	0.02350706333
231	0.02334401953
232	0.02316660944
233	0.02300635137
234	0.02282606457
235	0.02269267408
236	0.02252795194
237	0.02240133913
238	0.02228969336
239	0.02218049137
240	0.02202375625
241	0.02190782522
242	0.02175538477
243	0.02159418401
244	0.02147931174
245	0.02133678449
246	0.02117103652
247	0.02103428778
248	0.02092549048
249	0.02078593091
250	0.02063437041
251	0.02051597677
252	0.02042296999
253	0.02031358606
254	0.0202057942
255	0.02010095276
256	0.020010349
257	0.01992212001
258	0.01979645302
259	0.01970531752
260	0.0195935996
261	0.01950935314
262	0.01935104634
263	0.0192380422
264	0.0191589688
265	0.01902771937
266	0.01887198655
267	0.01878433792
268	0.01868561067
269	0.01857884934
270	0.01848464577
271	0.01840219686
272	0.01830785839
273	0.01815999966
274	0.01808331515
275	0.01797720162
276	0.01787466281
277	0.01777559205
278	0.01768713562
279	0.01759398611
280	0.0174498511
281	0.01736414433
282	0.01729003222
283	0.01721403473
284	0.01713224304
285	0.01704462892
286	0.01694969127
287	0.01688415753
288	0.01682032096
289	0.01675689848
290	0.0166650587
291	0.0165777677
292	0.01648291004
293	0.0164160352
294	0.01634252856
295	0.01627412595
296	0.01620780481
297	0.01614554462
298	0.01604531627
299	0.01597174532
300	0.01591434134
301	0.01584826802
302	0.01576949734
303	0.01566428574
304	0.01557396274
305	0.01551336207
306	0.01543023084
307	0.01536562255
308	0.01529056148
309	0.01521481495
310	0.01514012563
311	0.01507330882
312	0.01499598591
313	0.01493176034
314	0.01486986876
315	0.01480048267
316	0.01473609711
317	0.01466522719
318	0.01459165937
319	0.01453557297
320	0.01446599082
321	0.01440712339
322	0.01433202938
323	0.0142555425
324	0.01420503227
325	0.01413925698
326	0.01409978929
327	0.01405005079
328	0.01397328314
329	0.01392083419
330	0.01387159762
331	0.01382486757
332	0.01377699563
333	0.01371098192
334	0.01362764208
335	0.01357420965
336	0.0135236853
337	0.01346697776
338	0.0134121556
339	0.01334936995
340	0.01328964296
341	0.0132316947
342	0.01318161739
343	0.01314736746
344	0.01310218871
345	0.01303887446
346	0.01299658339
347	0.01296180173
348	0.01289814867
349	0.01285719244
350	0.01281269836
351	0.01271657018
352	0.0126634295
353	0.01261620302
354	0.0125822621
355	0.01254151369
356	0.01250231501
357	0.01246374532
358	0.01242099467
359	0.01237686763
360	0.01233106616
361	0.01228945349
362	0.01223628929
363	0.01219509228
